['1', '471', '595', '0']
['1', '471', '595', '0']
['1', '471', '595', '0']

['1', '603', '314', '0']
['1', '603', '314', '0']
['1', '603', '314', '0']
['1', '603', '314', '0']

['1', '629', '157', '0']
['1', '629', '157', '0']
['1', '629', '157', '0']
['1', '633', '157', '0']
['1', '633', '157', '0']
['1', '637', '157', '0']

['1', '642', '93', '0']
['1', '642', '93', '0']
['1', '642', '93', '0']
['1', '642', '93', '0']
['1', '630', '70', '0']
['1', '630', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']
['1', '620', '70', '0']

['9633', '628', '147', '0']
['9633', '628', '147', '0']
['9633', '628', '147', '0']
['9633', '628', '147', '0']
['9633', '628', '147', '0']
['9633', '628', '147', '0']
['9633', '628', '147', '0']
['9633', '628', '147', '0']
['9633', '628', '147', '0']
['9633', '628', '147', '0']
['9634', '628', '147', '0']
['9635', '401', '177', '0']
['9635', '401', '177', '0']
['9635', '401', '177', '0']
['9635', '401', '177', '0']
['9635', '401', '177', '0']
['9636', '374', '176', '0']
['9659', '317', '233', '0']
['9661', '316', '236', '0']
['9662', '316', '236', '0']
['9670', '306', '239', '0']
['9671', '300', '239', '0']
['9672', '300', '239', '0']
['9673', '290', '255', '0']
['9674', '290', '255', '0']
['9674', '290', '255', '0']
['9674', '290', '255', '0']
['9712', '123', '370', '0']
['9712', '123', '370', '0']
['9712', '123', '370', '0']
['9713', '126', '370', '0']
['9714', '126', '370', '0']
['9714', '126', '370', '0']
['9714', '126', '370', '0']
['9714', '126', '370', '0']
['9714', '126', '370', '0']
['9714', '126', '370', '0']
['9714', '126', '370', '0']
['9714', '126', '370', '0']
['9714', '126', '370', '0']
['9714', '126', '370', '0']
['9729', '601', '728', '0']
['9730', '601', '728', '0']
['9731', '629', '751', '0']
['9732', '629', '751', '0']
['9733', '647', '771', '0']
['9734', '647', '771', '0']
['9735', '664', '788', '0']
['9736', '664', '788', '0']
['9737', '669', '793', '0']
['9738', '669', '793', '0']
['9739', '677', '805', '0']
