['6938', '429', '516', '0']
['6938', '429', '516', '0']
['6938', '429', '516', '0']
['6938', '429', '516', '0']
['6938', '429', '516', '0']
['6938', '429', '516', '0']
['6938', '429', '516', '0']
['6938', '429', '516', '0']
['6938', '429', '516', '0']
['6942', '430', '514', '0']
['6944', '449', '512', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6946', '500', '517', '0']
['6948', '564', '523', '0']
['6950', '628', '535', '0']
['6952', '664', '546', '0']
['6954', '688', '553', '0']
['6960', '694', '553', '0']
['6962', '695', '553', '0']
['6964', '704', '551', '0']
['6967', '714', '546', '0']
['6971', '724', '480', '0']
['6974', '737', '367', '0']
['6976', '742', '333', '0']
['6978', '746', '312', '0']
['6982', '746', '309', '0']
['6984', '745', '301', '0']
['6986', '739', '297', '0']
['6989', '731', '292', '0']
['6990', '721', '285', '0']
['6993', '714', '280', '0']
['6996', '712', '279', '0']
['6997', '705', '274', '0']
['7001', '634', '242', '0']
['7001', '634', '242', '0']
['7001', '634', '242', '0']
['7004', '600', '223', '0']
['7004', '600', '223', '0']
['7004', '600', '223', '0']
['7004', '600', '223', '0']
['7004', '600', '223', '0']
['7004', '600', '223', '0']
['7005', '583', '211', '0']
['7005', '583', '211', '0']
['7005', '583', '211', '0']
['7005', '583', '211', '0']
['7005', '583', '211', '0']
['7005', '583', '211', '0']
['7005', '583', '211', '0']
['7005', '583', '211', '0']
['7005', '583', '211', '0']
['7005', '583', '211', '0']
['7029', '495', '188', '0']
['7035', '375', '171', '0']
['7038', '347', '168', '0']
['7039', '315', '169', '0']
['7042', '295', '168', '0']
['7043', '286', '167', '0']
['7048', '275', '163', '0']
['7049', '265', '162', '0']
['7052', '256', '161', '0']
['7053', '244', '166', '0']
['7056', '231', '172', '0']
['7057', '217', '187', '0']
['7060', '211', '194', '0']
['7061', '203', '206', '0']
['7061', '203', '206', '0']
['7064', '195', '226', '0']
['7064', '195', '226', '0']
['7065', '187', '243', '0']
['7065', '187', '243', '0']
['7068', '177', '264', '0']
['7068', '177', '264', '0']
['7069', '161', '289', '0']
['7069', '161', '289', '0']
['7069', '155', '295', '0']
['7069', '155', '295', '0']
['7072', '148', '306', '0']
['7072', '148', '306', '0']
['7072', '148', '306', '0']
['7073', '152', '336', '0']
['7073', '152', '336', '0']
['7075', '208', '383', '0']
['7078', '240', '408', '0']
['7079', '255', '422', '0']
['7079', '255', '422', '0']
['7082', '227', '438', '0']
['7083', '180', '459', '0']
['7086', '145', '475', '0']
['7087', '98', '510', '0']
['7090', '60', '533', '0']
['7091', '0', '557', '0']
['7092', '0', '557', '0']
['7093', '0', '557', '0']
['7094', '0', '557', '0']
['7095', '0', '557', '5']
['7091', '0', '557', '5']
['7092', '0', '557', '5']
['7093', '0', '557', '5']
['7094', '0', '557', '5']
['7095', '0', '557', '0']
['7953', '889', '621', '0']
['7954', '889', '621', '0']
['7955', '889', '621', '0']
['7956', '896', '605', '0']
['7957', '896', '605', '0']
['7953', '889', '621', '0']
['7954', '889', '621', '0']
['7955', '889', '621', '0']
['7956', '896', '605', '0']
['7957', '896', '605', '0']
['7953', '889', '621', '0']
['7954', '889', '621', '0']
['7955', '889', '621', '0']
['7956', '896', '605', '0']
['7957', '896', '605', '0']
['7953', '889', '621', '0']
['7954', '889', '621', '0']
['7955', '889', '621', '0']
['7956', '896', '605', '0']
['7957', '896', '605', '0']
['7953', '889', '621', '0']
['7954', '889', '621', '0']
['7955', '889', '621', '0']
['7956', '896', '605', '0']
['7957', '896', '605', '0']
['7958', '896', '605', '0']
['7960', '896', '605', '0']
